event_id,match,start_date,market_type,market_name,market_type_id,sport_market_id,selection,line,price,odd_id,odd_status,is_main_bet
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,moneyline,Vainqueur (prolongations incluses),219,70793,Kansas State Wildcats,,1.3847,4531907072,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,moneyline,Vainqueur (prolongations incluses),219,70793,Cincinnati Bearcats,,2.7,4531907071,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Cincinnati Bearcats (-2.5),-2.5,3.15,4531907200,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Cincinnati Bearcats (+14.5),14.5,1.3334,4531907073,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Cincinnati Bearcats (-3.5),-3.5,3.75,4531907202,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Cincinnati Bearcats (+8.5),8.5,1.625,4531907075,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Cincinnati Bearcats (-4.5),-4.5,4.2,4531907204,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Kansas State Wildcats (-14.5),14.5,3.1,4531907074,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Kansas State Wildcats (-8.5),8.5,2.2,4531907076,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Kansas State Wildcats (+2.5),-2.5,1.3226,4531907201,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Kansas State Wildcats (+3.5),-3.5,1.2353,4531907203,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Kansas State Wildcats (+4.5),-4.5,1.2,4531907205,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Cincinnati Bearcats (-7.5),-7.5,6.0,4552270613,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Kansas State Wildcats (+7.5),-7.5,1.1112,4552270614,0,False
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,2026-09-26T23:00:00Z,spread,Handicap (inclus prolongations),223,70799,Cincinnati Bearcats (+12.5),12.5,1.4348,4531907245,0,False
