event_id,match,start_date,market_type,market_name,market_type_id,sport_market_id,selection,line,price,odd_id,odd_status,is_main_bet
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+22.5),22.5,1.3334,4531954740,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+3.5),3.5,3.0,4531954869,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+23.5),23.5,1.3125,4531954742,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+5.5),5.5,2.6,4531954871,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+25.5),25.5,1.2353,4531954744,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+6.5),6.5,2.5,4531954873,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+27.5),27.5,1.1905,4531954746,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+9.5),9.5,2.05,4531954875,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+29.5),29.5,1.1539,4531954748,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (-1.5),-1.5,4.5,4531954877,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+4.5),4.5,2.7,4531954750,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-29.5),29.5,4.75,4531954749,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+7.5),7.5,2.2,4531954752,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-27.5),27.5,4.3,4531954747,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+8.5),8.5,2.1,4531954754,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-25.5),25.5,3.75,4531954745,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (-2.5),-2.5,4.75,4531954756,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-9.5),9.5,1.6897,4531954876,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-8.5),8.5,1.6667,4531954755,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-7.5),7.5,1.625,4531954753,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-6.5),6.5,1.5,4531954874,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-5.5),5.5,1.4546,4531954872,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (+2.5),-2.5,1.1539,4531954757,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+1.5),1.5,3.75,4531954904,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-1.5),1.5,1.2353,4531954905,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+12.5),12.5,1.7693,4531954906,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-12.5),12.5,1.9091,4531954907,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+17.5),17.5,1.5264,4531954908,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-28.5),28.5,4.5,4531954868,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,UTEP Miners (+24.5),24.5,1.2667,4531954910,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-24.5),24.5,3.5,4531954911,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-17.5),17.5,2.4,4531954909,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-22.5),22.5,3.1,4531954741,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-4.5),4.5,1.4167,4531954751,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (+1.5),-1.5,1.1667,4531954878,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,spread,Handicap (inclus prolongations),223,70799,Oregon State Beavers (-15.5),15.5,2.2,4531954731,0,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,total,Total (prolongations incluses),225,70803,Moins de 40.5,40.5,4.75,4531954944,7,False
17575390,UTEP Miners vs. Oregon State Beavers,2026-09-27T01:00:00Z,total,Total (prolongations incluses),225,70803,Plus de 44.5,44.5,1.2667,4531954945,0,False
