event_id,match,start_date,market_type,market_name,market_type_id,sport_market_id,market_id,market_sv,odd_id,selection,line,price,odd_status,is_main_bet
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,moneyline,Vainqueur (prolongations incluses),219,70793,1568863430,,3987038588,LA Rams,,1.2858,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,moneyline,Vainqueur (prolongations incluses),219,70793,1568863430,,3987038589,NY Giants,,3.4,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4075691541,LA Rams (-9.5),-9.5,2.1,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4075691542,NY Giants (+9.5),-9.5,1.6667,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,3987039262,LA Rams (-8.5),-8.5,2.05,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,3987039263,NY Giants (+8.5),-8.5,1.6897,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4471661984,LA Rams (-1),-1,1.3031,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4471661985,NY Giants (+1),-1,3.25,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4426064677,LA Rams (-2),-2,1.3572,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4425532582,LA Rams (-1.5),-1.5,1.3334,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4425532583,NY Giants (+1.5),-1.5,3.1,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4425532584,LA Rams (-10.5),-10.5,2.3,0,False
16514244,LA Rams vs. NY Giants,2026-09-22T00:15:00Z,spread,Handicap (inclus prolongations),223,70799,1568863642,-8.5,4426064678,NY Giants (+2),-2,3.0,0,False
