observed_at,event_id,match,signal,new_contracts,new_players,markets
2026-09-25T13:04:49,16489271,DAL Cowboys vs. BAL Ravens,PROPS_ADDED,54,7,1ère mi-temps - Total de yards à la course du joueur Plus/Moins | 1ère mi-temps - Yards reçus par le joueur - Plus/Moins | 2ème mi-temps - Joueur Tentative de passe - Plus/Moins | 2ème mi-temps - Total de yards à la course du joueur Plus/Moins | 2ème mi-temps - Total de yards à la passe du joueur Plus/Moins | 2ème mi-temps - Yards reçus par le joueur - Plus/Moins | Joueur tentative de gain par la course (prolongations incluses) | Joueur total de yards par la course (Lamar Jackson (BAL)) (prolongations incluses) | Premier quart-temps - Total de yards à la passe du joueur Plus/Moins | Quatrième quart-temps - Total de yards à la passe du joueur Plus/Moins | Total de yards à la course du joueur Plus/Moins (Incl. Prolongations) | Total de yards à la passe du joueur Plus/Moins(Incl. Prolongations) | Total des yards après réception du joueur Plus/Moins(Incl. Prolongations) | Yards de course et de réception du joueur Plus/Moins (prolongations incluses)
2026-09-25T13:04:49,16551449,DET Lions vs. NY Jets,PROPS_ADDED,8,1,Joueur total de yards sur réception (Garrett Wilson (NYJ)) (prolongations incluses)
2026-09-25T13:04:49,16551475,JAX Jaguars vs. NE Patriots,PROPS_ADDED,1,1,Joueur total de réception (Brenton Strange (JAX)) (incl. OT)
