match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
DAL Cowboys vs. WAS Commanders,Jake Ferguson,playertotals-receptions,Under,3.5,Jake Ferguson (DAL) moins de 3.5,1.625,"Ferguson, Jake",1.806,1.8940594059405942,0.5279665446941976,-14.205436487192891,Total de réceptions Plus/Moins(Incl. Prolongations),4497678745,id1400003171515800
SF 49ers		 vs. MIA Dolphins,Malik Willis,playertotals-passcompletions,Under,16.5,Malik Willis (MIA) moins de 16.5,1.7693,"Willis, Malik",1.97,2.066594477531132,0.483887870055017,-14.385719151165844,"Passes complétées, Joueur (prolongations incluses) ",4501430006,id1400003171515802
DEN Broncos	 vs. JAX Jaguars,Trevor Lawrence,playertotals-passcompletions,Over,19.5,Trevor Lawrence (JAX) Plus de 19.5,1.7408,"Lawrence, Trevor",1.943,2.0351624933404366,0.4913612565445027,-14.463832460732974,"Passes complétées, Joueur (prolongations incluses) ",4502055709,id1400003171515794
SF 49ers		 vs. MIA Dolphins,Greg Dulcich,playertotals-receptions,Under,2.5,Greg Dulcich (MIA) moins de 2.5,1.5264,"Dulcich, Greg",1.704,1.7852534562211981,0.5601445534331441,-14.499535363964888,Total de réceptions Plus/Moins(Incl. Prolongations),4497121120,id1400003171515802
SF 49ers		 vs. MIA Dolphins,Deebo Samuel,playertotals-receptions,Under,3.5,Deebo Samuel (SF) moins de 3.5,1.6061,"Samuel, Deebo",1.793,1.878921568627451,0.5322201930602661,-14.520114792590654,Total de réceptions Plus/Moins(Incl. Prolongations),4497702697,id1400003171515802
DAL Cowboys vs. WAS Commanders,Rachaad White,playertotals-rushyards,Over,22.5,Rachaad White (WAS) Plus de 22.5,1.8696,"White, Rachaad",2.09,2.189527603870233,0.4567195217052249,-14.611718221991154,Total de yards à la course du joueur Plus/Moins (Incl. Prolongations),4505819328,id1400003171515800
ARZ Cardinals vs. SEA Seahawks,Drew Lock,playertotals-interceptions,Under,0.5,Drew Lock (SEA) moins de 0.5,1.6897,"Lock, Drew",1.892,1.982857142857143,0.5043227665706052,-14.78458213256485,Passes du joueur interceptées Plus/Moins (Incl. Prolongations),4528718459,id1400003171515798
LA Rams vs. NY Giants,Malachi Fields,playertotals-receptions,Under,2.5,Malachi Fields (NYG) moins de 2.5,1.5264,"Fields, Malachi",1.694,1.791588785046729,0.5581637976004173,-14.801877934272301,Total de réceptions Plus/Moins(Incl. Prolongations),4500150598,id1400003171515806
KC Chiefs vs. IND Colts,Patrick Mahomes,playertotals-tdpasses,Over,1.5,Patrick Mahomes (KC) Plus de 1.5,1.6667,"Mahomes, Patrick",1.869,1.957479508196721,0.5108610311436798,-14.854791939282897,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4502058328,id1400003171515804
SF 49ers		 vs. MIA Dolphins,Malik Washington,playertotals-receptions,Under,3.5,Malik Washington (MIA) moins de 3.5,1.6667,"Washington, Malik",1.877,1.9660319094184249,0.5086387434554974,-15.22518062827224,Total de réceptions Plus/Moins(Incl. Prolongations),4497702817,id1400003171515802
