match_gp,match_pin,market,selection,gp_line,gp_price,pin_line,pin_price,pin_fair_prob,pin_fair_price,price_ev_pct,line_edge,gp_odd_id,abs_line_edge
Utah State Aggies vs. Troy Trojans,Utah State Aggies vs Troy Trojans,moneyline,Troy Trojans,,2.2,,2.26,0.4256670902160102,2.3492537313432833,-6.353240152477757,,4533857265,
Washington Huskies vs. Minnesota U Gophers,Washington Huskies vs Minnesota Golden Gophers,moneyline,Washington Huskies,,1.2353,,1.258,0.7579838399384379,1.3192893401015229,-6.366256252404767,,4519386019,
Charlotte 49ers vs. Louisiana-Lafayette Ragin Cajuns,Charlotte 49ers vs Louisiana Ragin Cajuns,moneyline,Louisiana-Lafayette Ragin Cajuns,,1.2106,,1.233,0.7726350728379127,1.294272076372315,-6.464798082242296,,4531915724,
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,spread,Kennesaw State Owls (+6.5),6.5,1.8334,6.5,1.884,0.5100130039011704,1.960734319224885,-6.494215864759411,0.0,4531931462,0.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,moneyline,Kentucky Wildcats,,1.05,,1.07,0.8904810644831116,1.1229885057471265,-6.499488229273275,,4531877450,
Iowa State Cyclones vs. Utah Utes,Iowa State Cyclones vs Utah Utes,spread,Utah Utes (-9.5),-9.5,1.9524,-9.5,2.01,0.4788695877625098,2.0882512181916617,-6.505501685247584,0.0,4531833033,0.0
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,spread,Alabama Crimson Tide (-12.5),-12.5,1.8696,-12.5,1.925,0.5,2.0,-6.520000000000003,0.0,4515068605,0.0
Tennessee Volunteers vs. Texas Longhorns,Tennessee Volunteers vs Texas Longhorns,moneyline,Texas Longhorns,,1.4167,,1.454,0.6598034627983154,1.5156028368794328,-6.525643425362659,,4272165278,
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,moneyline,Sacramento State Hornets,,2.55,,2.62,0.36638452237001207,2.7293729372937294,-6.571946795646932,,4532248407,
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,moneyline,FLORIDE DU SUD,,1.0834,,1.103,0.862348683389492,1.1596237337192477,-6.573143641582446,,4532243945,
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,moneyline,Nebraska Cornhuskers,,1.4167,,1.454,0.6590056285178236,1.517437722419929,-6.638672607879926,,4515075890,
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,moneyline,NOUVEAU MEXIQUE,,1.1819,,1.205,0.7898866608544027,1.2660044150110377,-6.643295553618145,,4531880451,
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,moneyline,UT San Antonio Roadrunners,,1.1539,,1.176,0.8089668615984406,1.236144578313253,-6.65331384015595,,4531999869,
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,spread,New Mexico St Aggies (+10.5),10.5,1.9091,10.5,1.97,0.4888427607680331,2.0456475583864124,-6.675028541774797,0.0,4531880753,0.0
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,moneyline,Louisville Cardinals,,1.1667,,1.19,0.7996632996632997,1.2505263157894735,-6.703282828282808,,4531843840,
Charlotte 49ers vs. Louisiana-Lafayette Ragin Cajuns,Charlotte 49ers vs Louisiana Ragin Cajuns,total,Plus de 48.5,48.5,1.8334,48.5,1.884,0.5088633993743483,1.9651639344262293,-6.704984358706978,0.0,4531916072,0.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,total,Moins de 58.5,58.5,1.8334,58.5,1.884,0.5088633993743483,1.9651639344262293,-6.704984358706978,0.0,4532000709,0.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,total,Plus de 48.5,48.5,1.8334,48.5,1.884,0.5088633993743483,1.9651639344262293,-6.704984358706978,0.0,4532248686,0.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,moneyline,Florida Atlantic Owls,,1.1539,,1.177,0.8082124816685676,1.2372983870967742,-6.740361740263989,,4531942458,
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,moneyline,Alabama Crimson Tide,,1.1667,,1.191,0.7991906929691452,1.25126582278481,-6.758421851289819,,4515068682,
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,moneyline,North Carolina State Wolfpack,,1.1334,,1.156,0.8225905463474523,1.215671641791045,-6.767587476979752,,4532010345,
Mississippi St Bulldogs vs. Missouri Tigers,Mississippi State Bulldogs vs Missouri Tigers,moneyline,Mississippi St Bulldogs,,1.3847,,1.423,0.6730990121755112,1.485665529010239,-6.795979784056971,,4517723969,
Iowa State Cyclones vs. Utah Utes,Iowa State Cyclones vs Utah Utes,moneyline,Utah Utes,,1.25,,1.28,0.7455268389662029,1.3413333333333333,-6.809145129224636,,4531832611,
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,moneyline,Tulane Green Wave,,1.0625,,1.086,0.8765347885402455,1.1408560311284048,-6.868178717598916,,4532025247,
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,total,Moins de 38.5,38.5,1.8696,38.5,1.925,0.4979134063641105,2.0083813514929285,-6.910109546165899,0.0,4515075655,0.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,total,Moins de 48.5,48.5,1.8696,48.5,1.925,0.4979134063641105,2.0083813514929285,-6.910109546165899,0.0,4515074945,0.0
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,total,Moins de 51.5,51.5,1.8334,51.5,1.884,0.5077083877711001,1.9696345856922286,-6.91674418604652,0.0,4531982995,0.0
USC Trojans vs. Oregon Ducks,USC Trojans vs Oregon Ducks,moneyline,Oregon Ducks,,1.5715,,1.625,0.5922208281053952,1.6885593220338984,-6.932496863237148,,4322050812,
