match_gp,match_pin,market,selection,gp_line,gp_price,pin_line,pin_price,pin_fair_prob,pin_fair_price,price_ev_pct,line_edge,gp_odd_id,abs_line_edge
Old Dominion Monarchs vs. James Madison Dukes,Old Dominion Monarchs vs James Madison Dukes,spread,Old Dominion Monarchs (+18.5),18.5,1.2223,6.0,1.9,,,,12.5,4531897848,12.5
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,total,Plus de 70.5,70.5,3.5,58.0,1.877,0.5109431995831162,,,-12.5,4531844426,12.5
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,total,Moins de 70.5,70.5,1.2667,58.0,1.961,0.4890568004168838,,,12.5,4531844427,12.5
LSU Tigers vs. Texas A&M Aggies,LSU Tigers vs Texas A&M Aggies,total,Plus de 64.5,64.5,3.5,52.0,1.961,0.4890568004168838,,,-12.5,4395052930,12.5
LSU Tigers vs. Texas A&M Aggies,LSU Tigers vs Texas A&M Aggies,total,Moins de 64.5,64.5,1.2667,52.0,1.877,0.5109431995831162,,,12.5,4395052931,12.5
LSU Tigers vs. Texas A&M Aggies,LSU Tigers vs Texas A&M Aggies,spread,LSU Tigers (+3.5),3.5,1.1539,-9.0,1.943,,,,12.5,4395052488,12.5
LSU Tigers vs. Texas A&M Aggies,LSU Tigers vs Texas A&M Aggies,spread,LSU Tigers (-21.5),-21.5,3.5,-9.0,1.943,,,,-12.5,4511207124,12.5
LSU Tigers vs. Texas A&M Aggies,LSU Tigers vs Texas A&M Aggies,spread,Texas A&M Aggies (-3.5),-3.5,4.75,9.0,1.909,,,,-12.5,4395052489,12.5
LSU Tigers vs. Texas A&M Aggies,LSU Tigers vs Texas A&M Aggies,spread,Texas A&M Aggies (+21.5),21.5,1.2667,9.0,1.909,,,,12.5,4511207125,12.5
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,total,Plus de 44.5,44.5,1.2667,57.0,1.943,0.49229161222889994,,,12.5,4523456119,12.5
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,total,Moins de 44.5,44.5,3.5,57.0,1.884,0.5077083877711001,,,-12.5,4523456120,12.5
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,spread,UCLA Bruins (-13.5),-13.5,4.3,-1.0,1.892,,,,-12.5,4523456405,12.5
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,spread,UCLA Bruins (+11.5),11.5,1.1667,-1.0,1.892,,,,12.5,4523456427,12.5
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,spread,Maryland Terrapins (+13.5),13.5,1.1905,1.0,1.961,,,,12.5,4523456404,12.5
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,spread,Maryland Terrapins (-11.5),-11.5,4.5,1.0,1.961,,,,-12.5,4523456426,12.5
Washington Huskies vs. Minnesota U Gophers,Washington Huskies vs Minnesota Golden Gophers,total,Plus de 33.5,33.5,1.2223,46.0,1.943,0.4933507170795306,,,12.5,4519385473,12.5
Washington Huskies vs. Minnesota U Gophers,Washington Huskies vs Minnesota Golden Gophers,total,Moins de 33.5,33.5,4.0,46.0,1.892,0.5066492829204693,,,-12.5,4519385474,12.5
Washington Huskies vs. Minnesota U Gophers,Washington Huskies vs Minnesota Golden Gophers,spread,Washington Huskies (+2.5),2.5,1.1905,-10.0,1.943,,,,12.5,4519385130,12.5
Washington Huskies vs. Minnesota U Gophers,Washington Huskies vs Minnesota Golden Gophers,spread,Washington Huskies (-22.5),-22.5,3.5,-10.0,1.943,,,,-12.5,4519385086,12.5
Washington Huskies vs. Minnesota U Gophers,Washington Huskies vs Minnesota Golden Gophers,spread,Minnesota U Gophers (-2.5),-2.5,4.3,10.0,1.909,,,,-12.5,4519385131,12.5
Washington Huskies vs. Minnesota U Gophers,Washington Huskies vs Minnesota Golden Gophers,spread,Minnesota U Gophers (+22.5),22.5,1.2667,10.0,1.909,,,,12.5,4519385087,12.5
Mississippi St Bulldogs vs. Missouri Tigers,Mississippi State Bulldogs vs Missouri Tigers,total,Plus de 70.5,70.5,3.25,58.0,1.869,0.5131544673091952,,,-12.5,4517723983,12.5
Mississippi St Bulldogs vs. Missouri Tigers,Mississippi State Bulldogs vs Missouri Tigers,total,Moins de 70.5,70.5,1.3031,58.0,1.97,0.4868455326908049,,,12.5,4517723984,12.5
SMU Mustangs vs. Missouri State Bears,SMU Mustangs vs Missouri State Bears,total,Plus de 47.5,47.5,1.25,60.0,1.925,0.4979134063641105,,,12.5,4533883452,12.5
SMU Mustangs vs. Missouri State Bears,SMU Mustangs vs Missouri State Bears,total,Moins de 47.5,47.5,3.7,60.0,1.909,0.5020865936358894,,,-12.5,4533883453,12.5
SMU Mustangs vs. Missouri State Bears,SMU Mustangs vs Missouri State Bears,spread,SMU Mustangs (-22.5),-22.5,1.2667,-35.0,1.917,,,,12.5,4533883410,12.5
SMU Mustangs vs. Missouri State Bears,SMU Mustangs vs Missouri State Bears,spread,Missouri State Bears (+22.5),22.5,3.5,35.0,1.934,,,,-12.5,4533883411,12.5
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,spread,Navy Midshipmen (+5.5),5.5,1.1539,-7.0,1.952,,,,12.5,4535344600,12.5
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,spread,Navy Midshipmen (-19.5),-19.5,3.5,-7.0,1.952,,,,-12.5,4531982840,12.5
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,spread,UAB Blazers (-5.5),-5.5,4.75,7.0,1.9,,,,-12.5,4535344599,12.5
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,spread,UAB Blazers (+19.5),19.5,1.2667,7.0,1.9,,,,12.5,4531982839,12.5
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,spread,Purdue Boilermakers (+15.5),15.5,3.5,28.0,1.892,,,,-12.5,4531872162,12.5
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,spread,Notre Dame Fighting Irish (-15.5),-15.5,1.2667,-28.0,1.961,,,,12.5,4531872163,12.5
West Virginia Mountaineers vs. Oklahoma St Cowboys,West Virginia Mountaineers vs Oklahoma State Cowboys,total,Plus de 47.5,47.5,1.25,60.0,1.9,0.5044340114762649,,,12.5,4515152709,12.5
West Virginia Mountaineers vs. Oklahoma St Cowboys,West Virginia Mountaineers vs Oklahoma State Cowboys,total,Moins de 47.5,47.5,3.7,60.0,1.934,0.49556598852373496,,,-12.5,4515152710,12.5
West Virginia Mountaineers vs. Oklahoma St Cowboys,West Virginia Mountaineers vs Oklahoma State Cowboys,spread,Oklahoma St Cowboys (+14.5),14.5,1.1539,2.0,1.925,,,,12.5,4531601251,12.5
West Virginia Mountaineers vs. Oklahoma St Cowboys,West Virginia Mountaineers vs Oklahoma State Cowboys,spread,Oklahoma St Cowboys (-10.5),-10.5,4.4,2.0,1.925,,,,-12.5,4515152365,12.5
West Virginia Mountaineers vs. Oklahoma St Cowboys,West Virginia Mountaineers vs Oklahoma State Cowboys,spread,West Virginia Mountaineers (-14.5),-14.5,4.75,-2.0,1.925,,,,-12.5,4531601250,12.5
West Virginia Mountaineers vs. Oklahoma St Cowboys,West Virginia Mountaineers vs Oklahoma State Cowboys,spread,West Virginia Mountaineers (+10.5),10.5,1.1819,-2.0,1.925,,,,12.5,4515152364,12.5
USC Trojans vs. Oregon Ducks,USC Trojans vs Oregon Ducks,total,Plus de 74.5,74.5,3.4,62.0,1.884,0.5088633993743483,,,-12.5,4395334611,12.5
USC Trojans vs. Oregon Ducks,USC Trojans vs Oregon Ducks,total,Moins de 74.5,74.5,1.2858,62.0,1.952,0.4911366006256517,,,12.5,4395334612,12.5
USC Trojans vs. Oregon Ducks,USC Trojans vs Oregon Ducks,spread,USC Trojans (+15.5),15.5,1.2,3.0,1.943,,,,12.5,4395045535,12.5
USC Trojans vs. Oregon Ducks,USC Trojans vs Oregon Ducks,spread,USC Trojans (-9.5),-9.5,4.5,3.0,1.943,,,,-12.5,4505114334,12.5
USC Trojans vs. Oregon Ducks,USC Trojans vs Oregon Ducks,spread,Oregon Ducks (-15.5),-15.5,4.2,-3.0,1.909,,,,-12.5,4395045536,12.5
USC Trojans vs. Oregon Ducks,USC Trojans vs Oregon Ducks,spread,Oregon Ducks (+9.5),9.5,1.1667,-3.0,1.909,,,,12.5,4505114335,12.5
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,total,Plus de 43.5,43.5,1.2353,56.0,2.01,0.4769711163153786,,,12.5,4531955067,12.5
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,total,Moins de 43.5,43.5,3.75,56.0,1.833,0.5230288836846213,,,-12.5,4531955068,12.5
Penn St Nittany Lions vs. Wisconsin Badgers,Penn State Nittany Lions vs Wisconsin Badgers,total,Plus de 32.5,32.5,1.2,45.0,1.892,0.5066492829204693,,,12.5,4515075674,12.5
Penn St Nittany Lions vs. Wisconsin Badgers,Penn State Nittany Lions vs Wisconsin Badgers,total,Moins de 32.5,32.5,4.2,45.0,1.943,0.4933507170795306,,,-12.5,4515075676,12.5
Penn St Nittany Lions vs. Wisconsin Badgers,Penn State Nittany Lions vs Wisconsin Badgers,spread,Wisconsin Badgers (+22.5),22.5,1.25,10.0,1.892,,,,12.5,4515075637,12.5
Penn St Nittany Lions vs. Wisconsin Badgers,Penn State Nittany Lions vs Wisconsin Badgers,spread,Wisconsin Badgers (-2.5),-2.5,4.4,10.0,1.892,,,,-12.5,4515076439,12.5
Penn St Nittany Lions vs. Wisconsin Badgers,Penn State Nittany Lions vs Wisconsin Badgers,spread,Penn St Nittany Lions (-22.5),-22.5,3.7,-10.0,1.961,,,,-12.5,4515075636,12.5
Penn St Nittany Lions vs. Wisconsin Badgers,Penn State Nittany Lions vs Wisconsin Badgers,spread,Penn St Nittany Lions (+2.5),2.5,1.1819,-10.0,1.961,,,,12.5,4515076438,12.5
Texas Tech Red Raiders vs. Sam Houston State Bearkats,Texas Tech Red Raiders vs Sam Houston State Bearkats,total,Plus de 67.5,67.5,3.7,55.0,1.892,0.5066492829204693,,,-12.5,4532034198,12.5
Texas Tech Red Raiders vs. Sam Houston State Bearkats,Texas Tech Red Raiders vs Sam Houston State Bearkats,total,Moins de 67.5,67.5,1.25,55.0,1.943,0.4933507170795306,,,12.5,4532034199,12.5
Texas Tech Red Raiders vs. Sam Houston State Bearkats,Texas Tech Red Raiders vs Sam Houston State Bearkats,spread,Texas Tech Red Raiders (-22.5),-22.5,1.2667,-35.0,1.961,,,,12.5,4532940990,12.5
Texas Tech Red Raiders vs. Sam Houston State Bearkats,Texas Tech Red Raiders vs Sam Houston State Bearkats,spread,Sam Houston State Bearkats (+22.5),22.5,3.5,35.0,1.892,,,,-12.5,4532940991,12.5
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,spread,San Diego State Aztecs (-9.5),-9.5,4.4,3.0,1.884,,,,-12.5,4532219567,12.5
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,spread,Toledo Rockets (+9.5),9.5,1.1819,-3.0,1.97,,,,12.5,4532219566,12.5
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,spread,UCF Knights (+15.5),15.5,1.2,3.0,1.943,,,,12.5,4532061850,12.5
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,spread,UCF Knights (-9.5),-9.5,4.4,3.0,1.943,,,,-12.5,4532061898,12.5
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,spread,TCU Horned Frogs (-15.5),-15.5,4.2,-3.0,1.909,,,,-12.5,4532061851,12.5
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,spread,TCU Horned Frogs (+9.5),9.5,1.1819,-3.0,1.909,,,,12.5,4532061899,12.5
Tennessee Volunteers vs. Texas Longhorns,Tennessee Volunteers vs Texas Longhorns,total,Plus de 68.5,68.5,3.5,56.0,1.909,0.5020865936358894,,,-12.5,4395045181,12.5
Tennessee Volunteers vs. Texas Longhorns,Tennessee Volunteers vs Texas Longhorns,total,Moins de 68.5,68.5,1.2667,56.0,1.925,0.4979134063641105,,,12.5,4395045182,12.5
Tennessee Volunteers vs. Texas Longhorns,Tennessee Volunteers vs Texas Longhorns,spread,Texas Longhorns (+6.5),6.5,1.1667,-6.0,2.0,,,,12.5,4395045134,12.5
Tennessee Volunteers vs. Texas Longhorns,Tennessee Volunteers vs Texas Longhorns,spread,Texas Longhorns (-18.5),-18.5,4.0,-6.0,2.0,,,,-12.5,4395045096,12.5
Tennessee Volunteers vs. Texas Longhorns,Tennessee Volunteers vs Texas Longhorns,spread,Tennessee Volunteers (-6.5),-6.5,4.5,6.0,1.854,,,,-12.5,4395045133,12.5
Tennessee Volunteers vs. Texas Longhorns,Tennessee Volunteers vs Texas Longhorns,spread,Tennessee Volunteers (+18.5),18.5,1.2223,6.0,1.854,,,,12.5,4395045095,12.5
Utah State Aggies vs. Troy Trojans,Utah State Aggies vs Troy Trojans,total,Plus de 61.5,61.5,4.0,49.0,2.01,0.4769711163153786,,,-12.5,4533857376,12.5
Utah State Aggies vs. Troy Trojans,Utah State Aggies vs Troy Trojans,total,Moins de 61.5,61.5,1.2223,49.0,1.833,0.5230288836846213,,,12.5,4533857377,12.5
Utah State Aggies vs. Troy Trojans,Utah State Aggies vs Troy Trojans,spread,Utah State Aggies (+9.5),9.5,1.1667,-3.0,1.943,,,,12.5,4538007157,12.5
Utah State Aggies vs. Troy Trojans,Utah State Aggies vs Troy Trojans,spread,Troy Trojans (-9.5),-9.5,4.5,3.0,1.909,,,,-12.5,4538007158,12.5
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,spread,Nevada Wolf Pack (-7.5),-7.5,6.0,4.5,2.02,,,,-12.0,4531864355,12.0
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,spread,Nevada Wolf Pack (+16.5),16.5,1.2667,4.5,2.02,,,,12.0,4531864247,12.0
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,spread,Air Force Falcons (+7.5),7.5,1.1112,-4.5,1.84,,,,12.0,4531864356,12.0
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,spread,Air Force Falcons (-16.5),-16.5,3.5,-4.5,1.84,,,,-12.0,4531864248,12.0
Akron Zips vs. UNLV Rebels,Akron Zips vs UNLV Rebels,total,Plus de 63.5,63.5,3.4,51.5,1.869,0.5131544673091952,,,-12.0,4532222603,12.0
Akron Zips vs. UNLV Rebels,Akron Zips vs UNLV Rebels,total,Moins de 63.5,63.5,1.2858,51.5,1.97,0.4868455326908049,,,12.0,4532222604,12.0
Akron Zips vs. UNLV Rebels,Akron Zips vs UNLV Rebels,spread,Akron Zips (+25.5),25.5,1.2858,13.5,1.952,,,,12.0,4533911759,12.0
Akron Zips vs. UNLV Rebels,Akron Zips vs UNLV Rebels,spread,UNLV Rebels (-25.5),-25.5,3.4,-13.5,1.9,,,,-12.0,4533911760,12.0
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,spread,South Carolina Gamecocks (+24.5),24.5,1.2667,12.5,1.925,,,,12.0,4515068590,12.0
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,spread,Alabama Crimson Tide (-24.5),-24.5,3.5,-12.5,1.925,,,,-12.0,4515068589,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,total,Plus de 64.5,64.5,3.4,52.5,1.9,0.5044340114762649,,,-12.0,4531931804,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,total,Moins de 64.5,64.5,1.2858,52.5,1.934,0.49556598852373496,,,12.0,4531931805,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,total,Plus de 40.5,40.5,1.2353,52.5,1.9,0.5044340114762649,,,12.0,4532214386,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,total,Moins de 40.5,40.5,3.75,52.5,1.934,0.49556598852373496,,,-12.0,4532214387,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,spread,Arkansas St Red Wolves (+5.5),5.5,1.1819,-6.5,1.961,,,,12.0,4531931415,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,spread,Arkansas St Red Wolves (-18.5),-18.5,3.7,-6.5,1.961,,,,-12.0,4531931441,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,spread,Kennesaw State Owls (-5.5),-5.5,4.4,6.5,1.884,,,,-12.0,4531931416,12.0
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,spread,Kennesaw State Owls (+18.5),18.5,1.25,6.5,1.884,,,,12.0,4531931442,12.0
Auburn Tigers vs. Vanderbilt Commodores,Auburn Tigers vs Vanderbilt Commodores,spread,Vanderbilt Commodores (+21.5),21.5,1.2858,9.5,1.917,,,,12.0,4515069060,12.0
Auburn Tigers vs. Vanderbilt Commodores,Auburn Tigers vs Vanderbilt Commodores,spread,Vanderbilt Commodores (-2.5),-2.5,4.2,9.5,1.917,,,,-12.0,4515069167,12.0
Auburn Tigers vs. Vanderbilt Commodores,Auburn Tigers vs Vanderbilt Commodores,spread,Auburn Tigers (-21.5),-21.5,3.4,-9.5,1.934,,,,-12.0,4515069059,12.0
Auburn Tigers vs. Vanderbilt Commodores,Auburn Tigers vs Vanderbilt Commodores,spread,Auburn Tigers (+2.5),2.5,1.2,-9.5,1.934,,,,12.0,4515069166,12.0
Baylor Bears vs. Colorado Buffaloes,Baylor Bears vs Colorado Buffaloes,total,Plus de 43.5,43.5,1.25,55.5,1.9,0.5044340114762649,,,12.0,4532005165,12.0
Baylor Bears vs. Colorado Buffaloes,Baylor Bears vs Colorado Buffaloes,total,Moins de 43.5,43.5,3.7,55.5,1.934,0.49556598852373496,,,-12.0,4532005166,12.0
Baylor Bears vs. Colorado Buffaloes,Baylor Bears vs Colorado Buffaloes,total,Plus de 67.5,67.5,3.5,55.5,1.9,0.5044340114762649,,,-12.0,4532005086,12.0
Baylor Bears vs. Colorado Buffaloes,Baylor Bears vs Colorado Buffaloes,total,Moins de 67.5,67.5,1.2667,55.5,1.934,0.49556598852373496,,,12.0,4532005087,12.0
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,total,Moins de 60.5,60.5,1.25,48.5,1.925,0.4979134063641105,,,12.0,4532244692,12.0
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,total,Plus de 60.5,60.5,3.7,48.5,1.909,0.5020865936358894,,,-12.0,4532244691,12.0
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,spread,Bowling Green Falcons (+5.5),5.5,3.75,17.5,1.9,,,,-12.0,4532244605,12.0
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,spread,FLORIDE DU SUD (-5.5),-5.5,1.2353,-17.5,1.952,,,,12.0,4532244606,12.0
California Golden Bears vs. Clemson Tigers,California Golden Bears vs Clemson Tigers,total,Plus de 38.5,38.5,1.25,50.5,1.917,0.5,,,12.0,4531985607,12.0
California Golden Bears vs. Clemson Tigers,California Golden Bears vs Clemson Tigers,total,Moins de 38.5,38.5,3.7,50.5,1.917,0.5,,,-12.0,4531985608,12.0
California Golden Bears vs. Clemson Tigers,California Golden Bears vs Clemson Tigers,total,Plus de 62.5,62.5,3.5,50.5,1.917,0.5,,,-12.0,4531985629,12.0
California Golden Bears vs. Clemson Tigers,California Golden Bears vs Clemson Tigers,total,Moins de 62.5,62.5,1.2667,50.5,1.917,0.5,,,12.0,4531985630,12.0
Charlotte 49ers vs. Louisiana-Lafayette Ragin Cajuns,Charlotte 49ers vs Louisiana Ragin Cajuns,total,Plus de 36.5,36.5,1.2223,48.5,1.884,0.5088633993743483,,,12.0,4534821286,12.0
Charlotte 49ers vs. Louisiana-Lafayette Ragin Cajuns,Charlotte 49ers vs Louisiana Ragin Cajuns,total,Moins de 36.5,36.5,4.0,48.5,1.952,0.4911366006256517,,,-12.0,4534821287,12.0
Charlotte 49ers vs. Louisiana-Lafayette Ragin Cajuns,Charlotte 49ers vs Louisiana Ragin Cajuns,total,Plus de 60.5,60.5,3.5,48.5,1.884,0.5088633993743483,,,-12.0,4531916084,12.0
Charlotte 49ers vs. Louisiana-Lafayette Ragin Cajuns,Charlotte 49ers vs Louisiana Ragin Cajuns,total,Moins de 60.5,60.5,1.2667,48.5,1.952,0.4911366006256517,,,12.0,4531916085,12.0
Cincinnati Bearcats vs. Kansas State Wildcats,Cincinnati Bearcats vs Kansas State Wildcats,spread,Kansas State Wildcats (-18.5),-18.5,3.7,-6.5,1.98,,,,-12.0,4531907250,12.0
Cincinnati Bearcats vs. Kansas State Wildcats,Cincinnati Bearcats vs Kansas State Wildcats,spread,Kansas State Wildcats (+5.5),5.5,1.1819,-6.5,1.98,,,,12.0,4531907144,12.0
Cincinnati Bearcats vs. Kansas State Wildcats,Cincinnati Bearcats vs Kansas State Wildcats,spread,Cincinnati Bearcats (+18.5),18.5,1.25,6.5,1.877,,,,12.0,4531907249,12.0
Cincinnati Bearcats vs. Kansas State Wildcats,Cincinnati Bearcats vs Kansas State Wildcats,spread,Cincinnati Bearcats (-5.5),-5.5,4.4,6.5,1.877,,,,-12.0,4531907143,12.0
Coastal Carolina  vs. Liberty Flames,Coastal Carolina Chanticleers vs Liberty Flames,spread,Liberty Flames (-14.5),-14.5,4.4,-2.5,1.884,,,,-12.0,4533844449,12.0
Coastal Carolina  vs. Liberty Flames,Coastal Carolina Chanticleers vs Liberty Flames,spread,Liberty Flames (+9.5),9.5,1.2,-2.5,1.884,,,,12.0,4533844082,12.0
Coastal Carolina  vs. Liberty Flames,Coastal Carolina Chanticleers vs Liberty Flames,spread,Coastal Carolina  (+14.5),14.5,1.1819,2.5,1.97,,,,12.0,4533844448,12.0
Coastal Carolina  vs. Liberty Flames,Coastal Carolina Chanticleers vs Liberty Flames,spread,Coastal Carolina  (-9.5),-9.5,4.2,2.5,1.97,,,,-12.0,4533844081,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,total,Plus de 46.5,46.5,1.25,58.5,1.952,0.4911366006256517,,,12.0,4532000692,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,total,Moins de 46.5,46.5,3.7,58.5,1.884,0.5088633993743483,,,-12.0,4532000693,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,total,Plus de 70.5,70.5,3.5,58.5,1.952,0.4911366006256517,,,-12.0,4532000728,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,total,Moins de 70.5,70.5,1.2667,58.5,1.884,0.5088633993743483,,,12.0,4532000729,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,spread,COLORADO (+25.5),25.5,1.2858,13.5,1.909,,,,12.0,4532000260,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,spread,COLORADO (+1.5),1.5,4.3,13.5,1.909,,,,-12.0,4532000050,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,spread,UT San Antonio Roadrunners (-25.5),-25.5,3.4,-13.5,1.943,,,,-12.0,4532000259,12.0
UT San Antonio Roadrunners vs. COLORADO,UTSA Roadrunners vs Colorado State Rams,spread,UT San Antonio Roadrunners (-1.5),-1.5,1.1905,-13.5,1.943,,,,12.0,4532000049,12.0
Miami Redhawks vs. Connecticut Huskies,Miami Ohio RedHawks vs Connecticut Huskies,spread,Connecticut Huskies (+15.5),15.5,1.2223,3.5,1.934,,,,12.0,4532237605,12.0
Miami Redhawks vs. Connecticut Huskies,Miami Ohio RedHawks vs Connecticut Huskies,spread,Miami Redhawks (-15.5),-15.5,4.0,-3.5,1.917,,,,-12.0,4532237604,12.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Plus de 40.5,40.5,1.2223,52.5,1.917,0.5,,,12.0,4533263112,12.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Plus de 64.5,64.5,3.5,52.5,1.917,0.5,,,-12.0,4532207624,12.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Moins de 40.5,40.5,4.0,52.5,1.917,0.5,,,-12.0,4533263113,12.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Moins de 64.5,64.5,1.2667,52.5,1.917,0.5,,,12.0,4532207625,12.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Louisiana-Monroe Warhawks (+25.5),25.5,1.2858,13.5,1.917,,,,12.0,4531942416,12.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Louisiana-Monroe Warhawks (+1.5),1.5,4.3,13.5,1.917,,,,-12.0,4531942386,12.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Florida Atlantic Owls (-25.5),-25.5,3.4,-13.5,1.934,,,,-12.0,4531942417,12.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Florida Atlantic Owls (-1.5),-1.5,1.1905,-13.5,1.934,,,,12.0,4531942387,12.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,FRESNO (-25.5),-25.5,3.5,-13.5,1.884,,,,-12.0,4535467772,12.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,Rice Owls (+25.5),25.5,1.2667,13.5,1.97,,,,12.0,4535467773,12.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Plus de 32.5,32.5,1.2,44.5,1.862,0.5140918580375784,,,12.0,4516755724,12.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Moins de 32.5,32.5,4.2,44.5,1.97,0.4859081419624217,,,-12.0,4516755725,12.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Plus de 56.5,56.5,3.5,44.5,1.862,0.5140918580375784,,,-12.0,4395046158,12.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Moins de 56.5,56.5,1.2667,44.5,1.97,0.4859081419624217,,,12.0,4395046159,12.0
