match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
GB Packers	 vs. ATL Falcons,Michael Penix,playertotals-passyards,Under,205.5,Michael Penix (ATL) moins de 205.5,1.8,"Penix, Michael",1.877,2.0,0.5,-9.999999999999998,Total de yards à la passe du joueur Plus/Moins(Incl. Prolongations),4535897993,id1400003171515808
GB Packers	 vs. ATL Falcons,Drake London,playertotals-receptions,Over,5.5,Drake London (ATL) Plus de 5.5,2.05,"London, Drake",2.13,2.278511404561825,0.4388830347734457,-10.028977871443633,Total de réceptions Plus/Moins(Incl. Prolongations),4539705802,id1400003171515808
GB Packers	 vs. ATL Falcons,Jordan Love,playertotals-interceptions,Under,0.5,Jordan Love (GB) moins de 0.5,1.7408,"Love, Jordan",1.826,1.935450819672131,0.5166754896770779,-10.057130757014288,Passes du joueur interceptées Plus/Moins (Incl. Prolongations),4537932856,id1400003171515808
GB Packers	 vs. ATL Falcons,Kyle Pitts,playertotals-receptions,Under,3.5,Kyle Pitts (ATL) moins de 3.5,2.0,"Pitts, Kyle",2.09,2.233766233766234,0.4476744186046511,-10.465116279069775,Total de réceptions Plus/Moins(Incl. Prolongations),4535057802,id1400003171515808
GB Packers	 vs. ATL Falcons,Jordan Love,playertotals-tdpasses,Under,1.5,Jordan Love (GB) moins de 1.5,1.8696,"Love, Jordan",1.98,2.1192764273600906,0.47185916244331816,-11.781210989597234,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4535056981,id1400003171515808
GB Packers	 vs. ATL Falcons,Bijan Robinson,playertotals-rushattempts,Under,17.5,Bijan Robinson (ATL) moins de 17.5,1.8696,"Robinson, Bijan",1.98,2.1192764273600906,0.47185916244331816,-11.781210989597234,Joueur tentative de gain par la course (prolongations incluses),4535058344,id1400003171515808
GB Packers	 vs. ATL Falcons,Bijan Robinson,playertotals-receptions,Over,4.5,Bijan Robinson (ATL) Plus de 4.5,1.6667,"Robinson, Bijan",1.769,1.8934343434343437,0.5281408375566817,-11.974766604427856,Total de réceptions Plus/Moins(Incl. Prolongations),4535876783,id1400003171515808
GB Packers	 vs. ATL Falcons,Matthew Golden,playertotals-receptions,Under,4.5,Matthew Golden (GB) moins de 4.5,1.5715,"Golden, Matthew",1.675,1.7900943396226412,0.5586297760210804,-12.211330698287215,Total de réceptions Plus/Moins(Incl. Prolongations),4535867643,id1400003171515808
GB Packers	 vs. ATL Falcons,Michael Penix,playertotals-passcompletions,Over,19.5,Michael Penix (ATL) Plus de 19.5,1.8696,"Penix, Michael",2.02,2.164265129682997,0.4620505992010653,-13.615019973368836,"Passes complétées, Joueur (prolongations incluses) ",4535895986,id1400003171515808
GB Packers	 vs. ATL Falcons,Michael Penix,playertotals-tdpasses,Over,1.5,Michael Penix (ATL) Plus de 1.5,2.75,"Penix, Michael",2.98,3.1863536316947907,0.3138383605802441,-13.69445084043287,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4535057565,id1400003171515808
GB Packers	 vs. ATL Falcons,Chris Brooks,playertotals-rushyards,Over,16.5,Chris Brooks (GB) Plus de 16.5,1.8334,"Brooks, Chris",2.06,2.205383265067291,0.45343592464844784,-16.86705757495358,Total de yards à la course du joueur Plus/Moins (Incl. Prolongations),4539711908,id1400003171515808
GB Packers	 vs. ATL Falcons,Tucker Kraft,playertotals-receptions,Under,3.5,Tucker Kraft (GB) moins de 3.5,1.9091,"Kraft, Tucker",2.16,2.3098847786537293,0.4329220267786821,-17.3508558676818,Total de réceptions Plus/Moins(Incl. Prolongations),4535058115,id1400003171515808
GB Packers	 vs. ATL Falcons,Christian Watson,playertotals-receptions,Under,4.5,Christian Watson (GB) moins de 4.5,1.7408,"Watson, Christian",1.98,2.1154929577464787,0.47270306258322237,-17.71185086551266,Total de réceptions Plus/Moins(Incl. Prolongations),4535939175,id1400003171515808
GB Packers	 vs. ATL Falcons,Jahan Dotson,playertotals-receptions,Under,1.5,Jahan Dotson (ATL) moins de 1.5,1.8696,"Dotson, Jahan",2.22,2.3729128014842304,0.42142298670836587,-21.210758405003915,Total de réceptions Plus/Moins(Incl. Prolongations),4536003684,id1400003171515808
