match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
BUF Bills vs. LA Chargers,Josh Allen,playertotals-rushattempts,Over,7.5,Josh Allen (BUF) Plus de 7.5,1.9524,"Allen, Josh",1.769,1.8934343434343437,0.5281408375566817,3.114217124566543,Joueur tentative de gain par la course (prolongations incluses),4543123666,id1400003171515810
JAX Jaguars vs. NE Patriots,Drake Maye,playertotals-rushattempts,Over,5.5,Drake Maye (NE) Plus de 5.5,1.8696,"Maye, Drake",1.694,1.8144230769230767,0.5511393746687865,3.041017488076325,Joueur tentative de gain par la course (prolongations incluses),4535337823,id1400003171515822
NO Saints	 vs. LV Raiders,Juwan Johnson,playertotals-receptions,Over,3.5,Juwan Johnson (NO) Plus de 3.5,2.15,"Johnson, Juwan",1.98,2.1192764273600906,0.47185916244331816,1.4497199253133974,Total de réceptions Plus/Moins(Incl. Prolongations),4535358452,id1400003171515836
CLE Browns vs. CAR Panthers,Deshaun Watson,playertotals-rushattempts,Over,5.5,Deshaun Watson (CLE) Plus de 5.5,1.8696,"Watson, Deshaun",1.724,1.8450980392156864,0.5419766206163655,1.32794899043569,Joueur tentative de gain par la course (prolongations incluses),4543428658,id1400003171515812
SF 49ers		 vs. ARZ Cardinals,Jacoby Brissett,playertotals-tdpasses,Under,1.5,Jacoby Brissett (ARI) moins de 1.5,1.5264,"Brissett, Jacoby",1.408,1.506474820143885,0.6638013371537727,1.322636103151864,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4535377147,id1400003171515832
WAS Commanders		 vs. SEA Seahawks,Stefon Diggs,playertotals-receptions,Over,3.5,Stefon Diggs (WAS) Plus de 3.5,1.7408,"Diggs, Stefon",1.609,1.72152466367713,0.580880437613962,1.1196665798385075,Total de réceptions Plus/Moins(Incl. Prolongations),4535398859,id1400003171515830
DAL Cowboys vs. BAL Ravens,Javonte Williams,playertotals-receptions,Under,2.5,Javonte Williams (DAL) moins de 2.5,2.15,"Williams, Javonte",1.99,2.128757799205899,0.4697575273114841,0.9978683719690906,Total de réceptions Plus/Moins(Incl. Prolongations),4536204787,id1400003171451946
NY Giants vs. TEN Titans,Gunnar Helm,playertotals-receptions,Over,2.5,Gunnar Helm (TEN) Plus de 2.5,1.9091,"Helm, Gunnar",1.769,1.8934343434343437,0.5281408375566817,0.8273672979461022,Total de réceptions Plus/Moins(Incl. Prolongations),4539686514,id1400003171515826
DET Lions vs. NY Jets,Garrett Wilson,playertotals-receptions,Under,5.5,Garrett Wilson (NYJ) moins de 5.5,1.8696,"Wilson, Garrett",1.74,1.8613861386138613,0.5372340425531915,0.44127659574468847,Total de réceptions Plus/Moins(Incl. Prolongations),4538859503,id1400003171515818
DAL Cowboys vs. BAL Ravens,Jake Ferguson,playertotals-receptions,Over,3.5,Jake Ferguson (DAL) Plus de 3.5,1.9524,"Ferguson, Jake",1.819,1.9449350649350647,0.514155982905983,0.3838141025641173,Total de réceptions Plus/Moins(Incl. Prolongations),4536204730,id1400003171451946
PIT Steelers		 vs. CIN Bengals,Mike Gesicki,playertotals-receptions,Over,2.5,Mike Gesicki (CIN) Plus de 2.5,1.9524,"Gesicki, Mike",1.819,1.9449350649350647,0.514155982905983,0.3838141025641173,Total de réceptions Plus/Moins(Incl. Prolongations),4535006820,id1400003171515828
CLE Browns vs. CAR Panthers,Chuba Hubbard,playertotals-receptions,Under,2.5,Chuba Hubbard (CAR) moins de 2.5,1.8334,"Hubbard, Chuba",1.714,1.8320388349514563,0.5458399576046635,0.07429782723900047,Total de réceptions Plus/Moins(Incl. Prolongations),4535260305,id1400003171515812
SF 49ers		 vs. ARZ Cardinals,Christian McCaffrey,playertotals-rushattempts,Under,13.5,Christian McCaffrey (SF) moins de 13.5,2.0,"McCaffrey, Christian",1.877,2.0,0.5,0.0,Joueur tentative de gain par la course (prolongations incluses),4539893606,id1400003171515832
JAX Jaguars vs. NE Patriots,Bhayshul Tuten,playertotals-rushattempts,Over,12.5,Bhayshul Tuten (JAX) Plus de 12.5,1.8696,"Tuten, Bhayshul",1.751,1.8711442786069652,0.5344323318266418,-0.08253124169104176,Joueur tentative de gain par la course (prolongations incluses),4538186913,id1400003171515822
BUF Bills vs. LA Chargers,Ladd McConkey,playertotals-receptions,Over,4.5,Ladd McConkey (LAC) Plus de 4.5,1.9091,"McConkey, Ladd",1.787,1.9112697603263642,0.5232123799359658,-0.11352454642477028,Total de réceptions Plus/Moins(Incl. Prolongations),4543321981,id1400003171515810
JAX Jaguars vs. NE Patriots,Bhayshul Tuten,playertotals-receptions,Under,1.5,Bhayshul Tuten (JAX) moins de 1.5,2.05,"Tuten, Bhayshul",1.917,2.0538757559098406,0.48688436830835113,-0.18870449678802803,Total de réceptions Plus/Moins(Incl. Prolongations),4535338247,id1400003171515822
MIA Dolphins vs. KC Chiefs,Patrick Mahomes,playertotals-rushattempts,Over,3.5,Patrick Mahomes (KC) Plus de 3.5,1.7693,"Mahomes, Patrick",1.657,1.7742990654205606,0.5636028443508033,-0.28174874901236713,Joueur tentative de gain par la course (prolongations incluses),4539656349,id1400003171515824
