match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
LA Rams vs. NY Giants,Malachi Fields,playertotals-receptions,Over,2.5,Malachi Fields (NYG) Plus de 2.5,2.35,"Fields, Malachi",2.17,2.2955223880597013,0.43563068920676207,2.3732119635890836,Total de réceptions Plus/Moins(Incl. Prolongations),4500150597,id1400003171515806
LA Rams vs. NY Giants,Matthew Stafford,playertotals-tdpasses,Over,1.5,Matthew Stafford (LAR) Plus de 1.5,1.5715,"Stafford, Matthew",1.48,1.5648854961832062,0.6390243902439025,0.42268292682925424,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4497680185,id1400003171515806
LA Rams vs. NY Giants,Matthew Stafford,playertotals-passcompletions,Under,21.5,Matthew Stafford (LAR) moins de 21.5,1.8696,"Stafford, Matthew",1.819,1.9233502538071066,0.5199261018738454,-2.794615993665872,"Passes complétées, Joueur (prolongations incluses) ",4497680192,id1400003171515806
LA Rams vs. NY Giants,Jaxson Dart,playertotals-interceptions,Under,0.5,Jaxson Dart (NYG) moins de 0.5,1.7408,"Dart, Jaxson",1.704,1.7999999999999998,0.5555555555555556,-3.2888888888888856,Passes du joueur interceptées Plus/Moins (Incl. Prolongations),4509458031,id1400003171515806
LA Rams vs. NY Giants,Odell Beckham Jr.,playertotals-receptions,Over,0.5,Odell Beckham Jr. (NYG) Plus de 0.5,1.7408,"Beckham Jr., Odell",1.714,1.8123222748815166,0.5517782426778243,-3.94644351464436,Total de réceptions Plus/Moins(Incl. Prolongations),4497680345,id1400003171515806
LA Rams vs. NY Giants,Cameron Skattebo,playertotals-rushyards,Over,50.5,Cameron Skattebo (NYG) Plus de 50.5,1.8334,"Skattebo, Cameron",1.819,1.9233502538071066,0.5199261018738454,-4.6767484824492005,Total de yards à la course du joueur Plus/Moins (Incl. Prolongations),4500408063,id1400003171515806
LA Rams vs. NY Giants,Blake Corum,playertotals-rushattempts,Under,10.5,Blake Corum (LAR) moins de 10.5,2.0,"Corum, Blake",1.99,2.101882613510521,0.4757639620653319,-4.847207586933622,Joueur tentative de gain par la course (prolongations incluses),4501193388,id1400003171515806
LA Rams vs. NY Giants,Malik Nabers,playertotals-receptions,Over,5.5,Malik Nabers (NYG) Plus de 5.5,1.9091,"Nabers, Malik",1.917,2.025682182985554,0.49366085578446905,-5.755206022187009,Total de réceptions Plus/Moins(Incl. Prolongations),4500619598,id1400003171515806
LA Rams vs. NY Giants,Colby Parkinson,playertotals-receptions,Over,2.5,Colby Parkinson (LAR) Plus de 2.5,1.5264,"Parkinson, Colby",1.531,1.6379166666666667,0.6105316713304503,-6.808445688120068,Total de réceptions Plus/Moins(Incl. Prolongations),4497681046,id1400003171515806
LA Rams vs. NY Giants,Terrance Ferguson,playertotals-receptions,Over,2.5,Terrance Ferguson (LAR) Plus de 2.5,2.05,"Ferguson, Terrance",2.06,2.201866977829638,0.4541600423953365,-6.897191308956019,Total de réceptions Plus/Moins(Incl. Prolongations),4530161764,id1400003171515806
