contract_type,match,player,market_type,direction,gp_line,gp_selection,gp_price,pin_line_ref,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_odd_id
EXACT_OU,BAL Ravens vs. NO Saints,Juwan Johnson,playertotals-receptions,Over,3.5,Juwan Johnson (NO) Plus de 3.5,1.8696,3.5,1.666,1.760730593607306,0.5679460580912863,6.18319502074689,4496718142
EXACT_OU,ATL Falcons		 vs. CAR Panthers,Olamide Zaccheaus,playertotals-receptions,Over,1.5,Olamide Zaccheaus (ATL) Plus de 1.5,2.3,1.5,2.08,2.1988472622478388,0.4547837483617299,4.600262123197885,4496689621
EXACT_OU,NE Patriots	 vs. PIT Steelers,Drake Maye,playertotals-rushattempts,Over,5.5,Drake Maye (NE) Plus de 5.5,2.1,5.5,1.909,2.017048481619605,0.4957739038563127,4.1125198098256766,4496607030
EXACT_OU,NE Patriots	 vs. PIT Steelers,Rico Dowdle,playertotals-receptions,Over,2.5,Rico Dowdle (PIT) Plus de 2.5,2.1,2.5,1.909,2.021401819154628,0.4947061937533086,3.888300688194812,4496605355
EXACT_OU,BAL Ravens vs. NO Saints,Tyler Shough,playertotals-interceptions,Under,0.5,Tyler Shough (NOS) moins de 0.5,2.0,0.5,1.826,1.9311575726670065,0.5178241351993663,3.564827039873264,4523824213
EXACT_OU,DEN Broncos	 vs. JAX Jaguars,Bo Nix,playertotals-passattempts,Over,33.5,Bo Nix (DEN) Plus de 33.5,1.8696,33.5,1.709,1.8061320754716983,0.5536693653695481,3.514024549490724,4504692600
EXACT_OU,SF 49ers		 vs. MIA Dolphins,Malik Washington,playertotals-receptions,Over,3.5,Malik Washington (MIA) Plus de 3.5,2.05,3.5,1.877,1.9832372970141436,0.5042260961436873,3.3663497094558847,4497702816
EXACT_OU,NY Jets vs. GB Packers,Mason Taylor,playertotals-receptions,Over,2.5,Mason Taylor (NYJ) Plus de 2.5,2.1,2.5,1.925,2.0338345864661656,0.4916820702402957,3.2532347504621084,4500148690
EXACT_OU,ARZ Cardinals vs. SEA Seahawks,Cooper Kupp,playertotals-receptions,Under,2.5,Cooper Kupp (SEA) moins de 2.5,1.7693,2.5,1.625,1.7158590308370043,0.582798459563543,3.1145314505776733,4504859456
EXACT_OU,NY Jets vs. GB Packers,Jayden Reed,playertotals-receptions,Over,3.5,Jayden Reed (GB) Plus de 3.5,2.15,3.5,1.98,2.092112520683949,0.4779857632480885,2.7669390983390274,4497177557
EXACT_OU,LA Rams vs. NY Giants,Isaiah Likely,playertotals-receptions,Under,4.5,Isaiah Likely (NYG) moins de 4.5,1.8696,4.5,1.724,1.8209523809523809,0.549163179916318,2.6715481171548205,4500437429
EXACT_OU,DEN Broncos	 vs. JAX Jaguars,Adam Trautman,playertotals-receptions,Under,1.5,Adam Trautman (DEN) moins de 1.5,1.5715,1.5,1.454,1.5365313653136534,0.6508165225744476,2.2758165225744253,4502055294
