match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
BUF Bills vs. LA Chargers,Justin Herbert,playertotals-rushattempts,Over,4.5,Justin Herbert (LAC) Plus de 4.5,2.1,"Herbert, Justin",1.769,1.8934343434343437,0.5281408375566817,10.909575886903177,Joueur tentative de gain par la course (prolongations incluses),4543223948,id1400003171515810
DET Lions vs. NY Jets,Jahmyr Gibbs,playertotals-receptions,Over,4.5,Jahmyr Gibbs (DET) Plus de 4.5,2.25,"Gibbs, Jahmyr",1.97,2.1098591549295773,0.4739652870493992,6.642189586114822,Total de réceptions Plus/Moins(Incl. Prolongations),4535060204,id1400003171515818
BUF Bills vs. LA Chargers,Josh Allen,playertotals-rushattempts,Over,7.5,Josh Allen (BUF) Plus de 7.5,2.0,"Allen, Josh",1.769,1.8934343434343437,0.5281408375566817,5.628167511336346,Joueur tentative de gain par la course (prolongations incluses),4543123666,id1400003171515810
PIT Steelers		 vs. CIN Bengals,Mike Gesicki,playertotals-receptions,Over,2.5,Mike Gesicki (CIN) Plus de 2.5,2.05,"Gesicki, Mike",1.819,1.9449350649350647,0.514155982905983,5.40197649572649,Total de réceptions Plus/Moins(Incl. Prolongations),4535006820,id1400003171515828
JAX Jaguars vs. NE Patriots,Drake Maye,playertotals-rushattempts,Over,5.5,Drake Maye (NE) Plus de 5.5,1.9091,"Maye, Drake",1.694,1.8144230769230767,0.5511393746687865,5.2180180180180225,Joueur tentative de gain par la course (prolongations incluses),4535337823,id1400003171515822
CLE Browns vs. CAR Panthers,Darren Waller,playertotals-receptions,Over,2.5,Darren Waller (CAR) Plus de 2.5,2.35,"Waller, Darren",2.1,2.2470308788598574,0.445031712473573,4.582452431289652,Total de réceptions Plus/Moins(Incl. Prolongations),4543443640,id1400003171515812
CLE Browns vs. CAR Panthers,Tetairoa McMillan,playertotals-receptions,Over,4.5,Tetairoa McMillan (CAR) Plus de 4.5,2.0,"McMillan, Tetairoa",1.787,1.9154713114754096,0.5220647231880182,4.412944637603644,Total de réceptions Plus/Moins(Incl. Prolongations),4543435976,id1400003171515812
IND Colts	 vs. HOU Texans,Xavier Hutchinson,playertotals-receptions,Over,3.5,Xavier Hutchinson (HOU) Plus de 3.5,2.25,"Hutchinson, Xavier",2.02,2.164265129682997,0.4620505992010653,3.9613848202396884,Total de réceptions Plus/Moins(Incl. Prolongations),4535966296,id1400003171515820
WAS Commanders		 vs. SEA Seahawks,Stefon Diggs,playertotals-receptions,Over,3.5,Stefon Diggs (WAS) Plus de 3.5,1.7408,"Diggs, Stefon",1.574,1.6843478260869562,0.5937016004130099,3.351574599896767,Total de réceptions Plus/Moins(Incl. Prolongations),4535398859,id1400003171515830
MIA Dolphins vs. KC Chiefs,Patrick Mahomes,playertotals-rushattempts,Over,3.5,Patrick Mahomes (KC) Plus de 3.5,1.8334,"Mahomes, Patrick",1.657,1.7742990654205606,0.5636028443508033,3.330945483276282,Joueur tentative de gain par la course (prolongations incluses),4539656349,id1400003171515824
